,메뉴,가격
1,사골 조랭이떡 만둣국,"5,900"
2,한우 함박스테이크 & 반달 돈까스,"8,900"
3,한우함박스테이크&토네이도소세지,"8,900"
4,해바라기,"10,000"
5,매화,"10,500"
6,진달래,"8,000"
7,개나리,"8,700"
8,돈까스도련님 고기고기,"6,600"
9,탕수육도련님 고기고기,"6,100"
10,새치 고기고기,"7,100"
11,돈치 고기고기,"6,100"
12,카츠카츠,"4,900"
13,숯불직화구이,"6,800"
14,소불고기,"5,700"
15,메가치킨제육,"7,800"
16,칠리 찹쌀탕수육도련님,"4,500"
17,동백,"6,200"
18,치킨제육,"5,000"
19,돈까스도련님,"4,900"
20,제육볶음,"4,700"
21,돈치스팸,"5,000"
22,송정식 떡갈비,"6,900"
23,제육 김치찌개 정식,"8,800"
24,제육 김치 부대찌개 정식,"9,200"
25,돈치스팸 김치 부대찌개 정식,"9,200"
26,빅치킨마요 김치 부대찌개 정식,"8,200"
27,치킨마요 김치 부대찌개 정식,"7,600"
28,빅치킨마요 김치찌개 정식,"7,700"
29,치킨마요 김치찌개 정식,"7,100"
30,빅새치마요,"4,700"
31,새치마요,"4,100"
32,메가스팸마요,"5,900"
33,스팸마요,"4,000"
34,메가치킨마요,"6,200"
35,왕치킨마요,"5,100"
36,빅치킨마요,"4,400"
37,치킨마요,"3,800"
38,참치마요,"3,600"
39,돈치마요,"4,100"
40,돈까스 카레,"4,800"
41,잡채볶음밥(중화풍 매운맛),"5,500"
42,잡채볶음밥(오리지널),"5,300"
43,스팸 김치볶음밥,"4,900"
44,김치볶음밥,"4,100"
45,스팸 철판볶음밥,"4,900"
46,소불고기 철판볶음밥,"5,100"
47,나시고랭,"6,300"
48,묵은지 김치찌개,"5,000"
49,김치 부대찌개,"6,100"
50,핫 치즈 닭갈비덮밥,"6,000"
51,오리지널 치즈 닭갈비덮밥,"6,000"
52,숯불직화구이 덮밥,"6,000"
53,마파두부 덮밥,"5,000"
54,왕카레돈까스덮밥,"6,100"
55,새우돈까스 덮밥,"4,400"
56,돈까스 덮밥,"4,300"
57,아보카도 소불고기 명란 비빔밥,"6,700"
58,소불고기 감초고추장 비빔밥,"5,600"
59,시골제육 두부강된장 비빔밥,"5,400"
60,참치야채 감초고추장 비빔밥,"3,700"
61,튼튼도시락,"5,200"
62,반찬 묵은지김치찌개,"4,400"
63,반찬 카레,"2,900"
64,반찬 순살 고등어 간장구이,"3,900"
65,반찬 김치 부대찌개,"4,900"
66,반찬 치킨,"3,800"
67,반찬 고기고기,"3,600"
68,반찬 돈까스도련님,"4,100"
69,반찬 제육볶음,"3,500"
70,반찬 토네이도 소세지,"3,200"
71,반찬 돈까스,"2,900"
72,치즈버터 해시 포테이토 스틱,"2,200"
73,허니버터 해시 포테이토 스틱,"2,200"
74,해시 포테이토 스틱,"2,000"
75,뉴 감자고로케,"2,700"
76,미니 찹쌀핫도그,"2,800"
77,미니 찹쌀탕수육,"2,300"
78,케이준후라이,"1,900"
79,통현미 닭강정(소),"3,500"
80,통현미 닭강정(중),"8,500"
81,후라이드 순살(중),"7,500"
82,후라이드 순살(소)_양념치킨소스,"4,000"
83,후라이드 순살(소)_케이준소스,"4,000"
84,3종 미니반찬B,"1,300"
85,3종 미니반찬A,"1,300"
86,오징어젓갈,600
87,한솥 두부강된장소스,"1,800"
88,한솥 감초볶음고추장소스,500
89,볶음김치,500
90,김치,400
91,무말랭이 무침,500
92,한솥밥,"1,000"
93,현미밥,"1,700"
94,리얼꿀 미니호떡,"2,200"
